260,51,266,15,252
261,51,267,12,259
262,51,271,20,258
263,65,264,12,261
264,62,276,16,257
265,62,273,14,270
266,62,284,17,261
267,63,277,10,269
268,53,289,27,268
269,74,274,14,275
270,79,284,16,258
271,70,283,17,273
272,67,293,18,275
273,66,294,17,280
274,65,298,14,280
275,59,300,15,281
276,63,292,13,283
277,59,300,11,280
278,50,300,16,289
279,60,295,16,284
280,61,299,9,280
281,49,301,20,287
282,63,293,9,288
283,61,299,12,277
284,51,299,11,281
285,55,288,17,283
286,64,291,15,272
287,59,292,11,281
288,55,296,15,284
289,60,294,18,285
290,64,299,13,283
291,56,304,14,288
292,54,304,14,293
293,61,300,16,289
294,63,303,15,288
295,57,309,22,293
296,66,306,18,294
297,68,310,19,288
298,63,312,18,296
299,61,316,18,300
300,62,317,21,301
301,70,314,19,300
302,74,315,20,299
303,76,317,25,305
304,83,323,16,308
305,82,325,31,314
306,99,328,21,313
307,102,331,25,318
308,103,342,22,324
309,101,348,20,332
310,95,358,20,332
311,96,351,25,339
312,100,360,22,327
313,93,356,24,336
314,85,368,17,337
315,77,362,30,344
316,89,362,18,342
317,87,362,27,336
318,88,362,24,342
319,97,357,24,344
320,98,367,22,338
321,93,365,29,346
322,100,368,24,348
323,94,378,21,353
324,87,381,15,354
325,78,378,24,355
326,87,370,20,356
327,83,380,29,347
328,91,368,26,357
329,91,383,27,343
330,95,366,26,343
331,99,365,36,342
332,112,365,24,341
333,107,370,34,344
334,117,368,33,349
335,121,378,34,351
336,128,378,30,357
337,131,384,40,361
338,132,400,26,370
339,126,402,39,376
340,145,396,35,375
341,157,398,43,372
342,152,420,34,377
343,147,416,38,398
344,153,430,35,384
345,153,419,38,396
346,152,435,35,390
347,144,433,32,400
348,131,445,42,400
349,154,419,34,407
350,149,446,36,393
351,147,431,37,420
352,151,453,38,406
353,144,451,42,423
354,148,461,36,419
355,145,458,34,421
356,144,456,40,420
357,151,453,37,424
358,154,458,34,423
359,151,460,54,429
360,165,469,29,431
361,142,483,45,434
362,150,471,35,448
363,154,479,49,445
364,161,487,31,452
365,151,493,45,457
366,160,493,39,452
367,160,491,38,458
368,151,505,32,462
369,144,501,55,473
370,170,502,38,469
371,154,523,40,472
372,148,518,34,489
373,142,529,47,485
374,151,523,43,486
375,160,520,41,487
376,161,527,39,485
377,154,531,39,491
378,161,523,39,498
379,170,528,41,490
380,175,526,46,491
381,180,532,44,495
382,178,541,41,497
383,164,552,52,500
384,179,537,45,516
385,174,566,41,502
386,155,562,38,525
387,155,563,50,531
388,175,561,36,520
389,170,561,42,526
390,174,564,53,524
391,190,561,49,531
392,197,573,48,528
393,186,587,46,540
394,175,597,51,554
395,193,587,46,560
396,192,607,53,546
397,196,595,45,566
398,190,617,48,559
399,196,601,61,579
400,223,613,52,566
401,208,633,59,576
402,202,641,60,601
403,221,642,56,601
404,208,670,42,606
405,192,664,62,631
406,203,682,43,628
407,193,681,59,629
408,201,680,43,633
409,190,687,57,638
410,192,693,41,647
411,185,695,57,648
412,187,703,42,651
413,180,700,58,664
414,193,709,36,662
415,183,708,51,666
416,190,710,36,663
417,182,707,48,666
418,195,701,52,666
419,207,706,57,657
420,201,720,49,670
421,186,734,43,680
422,169,740,46,689
423,179,725,55,691
424,207,718,42,682
425,186,745,51,678
426,181,734,42,713
427,184,752,49,696
428,179,750,45,702
429,179,747,48,709
430,174,762,43,709
431,185,741,59,715
432,208,751,40,703
433,193,758,55,716
434,188,776,39,729
435,180,776,53,727
436,190,770,39,731
437,182,778,59,727
438,184,784,40,734
439,172,786,51,732
440,179,776,41,738
441,180,778,54,725
442,181,778,41,730
443,180,772,47,737
444,182,782,52,731
445,195,770,41,746
446,171,811,39,741
447,168,783,46,766
448,169,811,20,738
449,143,784,44,754
450,156,785,28,742
451,135,791,26,743
452,112,792,23,745
453,104,776,27,739
454,106,764,21,722
455,95,754,27,720
456,105,737,23,712
457,101,739,25,694
458,104,716,25,702
459,108,723,27,682
460,105,712,14,687
461,87,719,26,678
462,93,698,22,674
